caseid,sender,target,startdate,terdate,defactoter,ongoing,gradual,expiry,review,measures,goals,adaptgoal,targetsalience,sendersalience,requirementter,outcome,negotiations,costsender,instinvestment,costtarget,multilateralism,datasets,comment,sourceimp,sourceter
EEC_BOS_92,"1653, 1830",346,03.03.1992,23.01.2006,,0,1,0,1,"AE, CE","HR, AC",0,1,1,Ambiguous,Target partial acquiescence,1,Blank,0,Minor,EU – UN – USA,EUSANCT,Imposition date is the date of independence,https://op.europa.eu/en/publication-detail/-/publication/7e2a7186-63e6-44f5-95a3-33da6d60439c,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32006E0029&from=GA
EU_BOS_13,1830,346,23.12.2013,01.06.2015,,0,0,0,0,AS,DM,0,0,0,Clear ,Target partial acquiescence,1,Blank,0,Minor,EU,EUSANCT,,https://ec.europa.eu/commission/presscorner/detail/en/IP_13_1310,http://europa.eu/rapid/press-release_IP-15-5086_en.htm
UN_BOS_92,4400,346,03.03.1992,14.06.1996,,0,1,0,0,"AE, FB",AC,0,0,1,Clear ,Target partial acquiescence,1,Blank,1,Minor,EU – UN – USA,EUSANCT/TIES,"The Secretary-General submitted the report on the implementation of Annex 1B (Agreement on Regional Stabilization) on June 14, 1996. June 14 is thus the day upon which the UNSC arms embargo on the states of the former Yugoslavia, imposed by the Security Council in Resolution 713, terminated.",http://unscr.com/en/resolutions/doc/713,"https://undocs.org/S/RES/1021(1995);
https://www.govinfo.gov/content/pkg/FR-1996-07-12/pdf/96-17753.pdf"
USA_BOS_92,2,346,03.03.1992,12.07.1996,,0,1,0,0,"AE, AS",AC,0,1,0,Ambiguous,Stalemate,0,Minor,0,Minor,EU – UN – USA,IST,,"https://www.congress.gov/bill/101st-congress/house-bill/5114;
https://www.govinfo.gov/content/pkg/FR-1991-07-19/pdf/FR-1991-07-19.pdf",https://www.govinfo.gov/content/pkg/FR-1997-11-17/pdf/97-29595.pdf
EEC_SLV_91,"1653, 1830",349,05.07.1991,13.03.1996,,0,0,0,0,AE,"HR, AC",0,0,1,Ambiguous,Target complete acquiescence,0,Blank,0,Minor,EU – UN – USA,EUSANCT,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L:1996:058:FULL&from=FR,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31996E0184&from=EN
UN_SLV_91,4400,349,25.09.1991,14.06.1996,,0,1,0,0,AE,AC,0,0,1,Clear ,Target complete acquiescence,0,Blank,1,Minor,EU – UN – USA,EUSANCT,"The Secretary-General submitted the report on the implementation of Annex 1B (Agreement on Regional Stabilization) on June 14, 1996. June 14 is thus the day upon which the UNSC arms embargo on the states of the former Yugoslavia, imposed by the Security Council in Resolution 713, terminated.",http://unscr.com/en/resolutions/doc/713,"https://undocs.org/S/RES/1021(1995);
https://www.govinfo.gov/content/pkg/FR-1996-07-12/pdf/96-17753.pdf"
USA_SLV_03,2,349,01.07.2003,29.03.2004,,0,1,0,0,"IM, AS",CB,0,0,0,Clear ,Stalemate,1,Minor,0,Minor,USA,EUSANCT/TIES,ICC CASE,https://2001-2009.state.gov/t/pm/rls/othr/misc/23425.htm,https://www.nato.int/docu/update/2004/03-march/e0329a.htm
USA_SLV_91,2,349,25.09.1991,12.07.1996,,0,1,0,0,"AE, AS",AC,0,1,0,Ambiguous,Stalemate,0,Minor,0,Minor,EU – UN – USA,IST,,"https://www.congress.gov/bill/101st-congress/house-bill/5114;
https://www.govinfo.gov/content/pkg/FR-1991-07-19/pdf/FR-1991-07-19.pdf",https://www.govinfo.gov/content/pkg/FR-1997-11-17/pdf/97-29595.pdf
USA_CYP_03,2,352,01.07.2003,27.11.2006,,0,0,0,0,AS,CB,0,0,0,Clear ,Sender capitulation,1,Minor,0,Minor,USA,EUSANCT/TIES,ICC CASE,https://2001-2009.state.gov/t/pm/rls/othr/misc/23425.htm,https://www.federalregister.gov/documents/2006/12/12/06-9665/waiving-the-prohibition-on-the-use-of-fiscal-year-2006-economic-support-funds-with-respect-to
USA_CYP_87,2,352,22.12.1987,,,1,1,0,0,AE,AC,0,0,0,Ambiguous,Blank,1,Minor,0,Minor,USA,EUSANCT,,https://uscode.house.gov/view.xhtml?req=(title:22%20section:2373%20edition:prelim),
